record_id,equipment_id,equipment_type,operating_hours,engine_temperature_C,vibration_level,oil_pressure_bar,fuel_rate_L_per_hr,load_tons,ambient_temperature_C,failure
942,EQ0056,Drill,4160,89.77,0.374,2.72,39.99,105.1,33.89,0
943,EQ0094,Loader,4865,86.85,0.595,3.44,28.84,86.6,32.0,0
944,EQ0107,Loader,3712,88.48,0.4,3.14,38.85,118.4,28.62,0
945,EQ0063,Crusher,6653,91.36,0.576,3.88,33.18,80.5,28.57,0
946,EQ0048,Drill,7478,92.17,0.571,2.88,48.87,97.5,24.31,0
947,EQ0061,Haul Truck,1789,112.32,0.292,2.94,44.85,157.8,27.67,0
948,EQ0081,Crusher,1416,103.44,0.482,3.61,37.49,64.5,21.85,0
949,EQ0026,Haul Truck,7230,103.2,0.54,2.95,41.14,140.3,23.29,1
950,EQ0036,Loader,3286,104.35,0.435,3.75,29.54,164.8,31.09,0
951,EQ0001,Crusher,5889,87.01,0.547,3.27,33.97,144.5,25.22,0
952,EQ0008,Crusher,1245,85.22,0.621,1.82,52.43,131.9,23.57,0
953,EQ0113,Excavator,4494,86.15,0.495,3.59,40.43,106.1,30.7,0
954,EQ0099,Loader,8042,105.68,0.534,3.46,47.44,100.6,30.28,0
955,EQ0180,Loader,7648,90.62,0.708,3.48,41.86,52.6,26.71,1
956,EQ0047,Crusher,660,84.99,0.571,2.04,50.51,121.1,27.11,0
957,EQ0127,Loader,2012,91.55,0.53,2.67,24.01,107.9,30.5,0
958,EQ0056,Crusher,1964,93.09,0.356,2.71,38.49,99.1,33.81,0
959,EQ0014,Excavator,396,97.15,0.601,2.58,53.16,119.4,29.21,0
960,EQ0028,Crusher,2509,97.01,0.55,3.87,47.65,121.9,20.85,0
961,EQ0078,Loader,7730,88.37,0.693,2.99,50.6,100.9,26.67,0
962,EQ0130,Loader,1561,100.49,0.507,2.98,39.95,168.4,25.56,0
963,EQ0109,Crusher,4392,89.89,0.228,3.28,35.7,141.9,21.68,0
964,EQ0154,Crusher,2368,93.75,0.245,3.28,31.78,146.9,30.99,0
965,EQ0014,Crusher,1094,100.49,0.61,1.33,31.22,116.9,31.45,0
966,EQ0187,Drill,6654,89.87,0.414,2.68,46.46,135.3,32.36,0
967,EQ0056,Loader,107,90.45,0.566,2.29,44.11,93.1,22.05,1
968,EQ0115,Loader,2615,99.73,0.517,3.2,39.47,140.0,28.94,0
969,EQ0007,Drill,1517,88.14,0.475,2.86,44.07,113.9,27.96,0
970,EQ0003,Crusher,2416,91.92,0.486,3.01,41.14,89.3,29.84,0
971,EQ0111,Excavator,7458,99.45,0.37,1.96,47.7,119.3,28.78,0
972,EQ0151,Crusher,4032,111.43,0.498,2.85,47.62,111.2,27.92,0
973,EQ0107,Crusher,6304,99.84,0.412,3.56,31.47,189.7,27.2,0
974,EQ0018,Drill,1387,98.78,0.444,3.7,42.19,133.1,34.64,0
975,EQ0038,Loader,1218,99.25,0.451,3.36,26.65,167.4,22.83,0
976,EQ0115,Crusher,8844,86.41,0.466,2.33,41.06,153.9,26.96,0
977,EQ0015,Loader,7737,95.92,0.638,3.63,44.83,121.1,34.49,0
978,EQ0192,Haul Truck,760,94.76,0.481,3.36,29.49,106.7,23.13,0
979,EQ0119,Loader,9007,97.57,0.654,2.94,36.67,67.8,23.44,1
980,EQ0028,Excavator,7022,95.93,0.731,1.99,40.08,93.9,32.4,0
981,EQ0039,Excavator,8204,98.04,0.628,3.48,41.87,139.9,19.46,1
982,EQ0185,Crusher,6437,92.51,0.58,2.7,37.77,110.9,31.96,0
983,EQ0017,Loader,2629,95.47,0.549,3.17,30.62,131.3,25.06,0
984,EQ0086,Crusher,4070,85.18,0.63,3.03,39.57,59.1,30.46,0
985,EQ0126,Drill,3507,92.44,0.513,3.77,26.78,133.6,20.68,0
986,EQ0044,Excavator,9750,106.13,0.648,2.94,38.14,152.9,35.11,1
987,EQ0025,Crusher,9146,97.55,0.592,2.99,36.47,66.7,20.7,0
988,EQ0145,Drill,7516,94.83,0.446,3.79,38.93,131.1,32.35,0
989,EQ0013,Crusher,4860,110.17,0.634,2.67,35.53,160.3,20.95,1
990,EQ0025,Loader,1997,84.11,0.514,3.41,27.94,170.4,38.85,0
991,EQ0068,Loader,6464,86.12,0.484,2.9,37.07,104.9,27.57,0
992,EQ0138,Loader,8564,108.7,0.429,2.5,47.45,143.4,39.71,0
993,EQ0067,Loader,4187,95.37,0.525,3.0,50.09,162.9,23.09,0
994,EQ0109,Haul Truck,9564,93.06,0.649,3.35,59.51,132.0,25.34,0
995,EQ0146,Drill,4474,85.41,0.633,3.68,53.53,158.6,35.26,0
996,EQ0111,Drill,7707,98.58,0.553,3.74,30.42,118.9,19.44,0
997,EQ0111,Loader,4119,99.36,0.59,2.85,36.73,131.8,23.8,0
998,EQ0034,Haul Truck,915,86.24,0.691,2.51,39.82,101.4,30.97,0
999,EQ0111,Loader,7355,93.88,0.478,2.84,39.32,115.1,21.89,0
1000,EQ0008,Haul Truck,1022,92.32,0.333,2.41,40.56,133.0,31.13,0
1001,EQ0168,Loader,4967,97.05,0.695,2.89,59.26,99.1,29.02,0
1002,EQ0113,Excavator,1364,86.05,0.421,2.83,31.34,113.3,18.92,0
1003,EQ0083,Excavator,3824,105.02,0.396,3.36,34.29,142.8,33.81,0
1004,EQ0042,Crusher,2822,102.33,0.231,1.9,53.15,181.6,20.43,0
1005,EQ0169,Loader,5455,92.09,0.586,2.63,35.07,58.5,32.63,0
1006,EQ0101,Drill,2650,93.27,0.257,2.64,43.15,179.3,28.77,0
1007,EQ0006,Crusher,5419,93.91,0.387,3.59,48.28,112.2,25.27,0
1008,EQ0180,Excavator,6786,88.77,0.588,2.44,43.89,148.9,21.37,0
1009,EQ0026,Loader,1773,91.45,0.608,3.11,41.53,154.8,29.98,0
1010,EQ0064,Crusher,4687,92.84,0.402,2.94,47.51,166.9,22.76,0
1011,EQ0187,Loader,5453,107.9,0.48,3.52,32.86,98.2,35.25,0
1012,EQ0184,Excavator,6957,102.57,0.369,3.3,36.03,113.2,35.47,0
1013,EQ0059,Crusher,1766,102.48,0.418,3.06,44.29,118.4,37.85,0
1014,EQ0109,Excavator,4611,97.96,0.54,2.72,23.44,109.3,29.69,0
1015,EQ0198,Haul Truck,6272,86.06,0.425,2.07,51.33,159.6,25.57,0
1016,EQ0121,Excavator,1484,94.67,0.463,3.12,42.43,117.7,26.22,0
1017,EQ0033,Loader,4503,102.76,0.28,3.27,41.22,71.4,25.78,0
1018,EQ0181,Drill,4054,84.93,0.67,2.21,26.96,101.0,29.49,0
1019,EQ0150,Excavator,6405,100.09,0.577,2.38,29.71,72.6,30.62,0
1020,EQ0021,Drill,8352,113.58,0.619,3.13,36.81,113.1,35.39,1
1021,EQ0198,Haul Truck,7338,103.49,0.694,3.17,46.46,140.2,28.12,1
1022,EQ0070,Crusher,7081,106.31,0.376,2.5,23.39,100.4,19.58,0
1023,EQ0112,Crusher,6126,96.75,0.446,2.71,46.31,107.9,25.56,0
1024,EQ0004,Drill,6709,102.74,0.216,2.08,37.12,111.8,37.34,1
1025,EQ0094,Crusher,8764,89.26,0.971,3.69,38.21,124.2,18.66,0
1026,EQ0075,Excavator,1058,101.37,0.478,2.35,42.03,135.5,32.43,0
1027,EQ0190,Drill,8824,100.24,0.656,3.27,42.15,144.2,25.66,0
1028,EQ0062,Loader,593,97.32,0.314,2.98,34.3,187.7,22.7,0
1029,EQ0094,Excavator,7142,105.53,0.649,3.64,45.0,123.7,30.37,0
1030,EQ0095,Excavator,181,90.69,0.779,2.6,21.44,142.1,37.37,0
1031,EQ0152,Excavator,7099,93.5,0.491,3.03,36.4,72.4,30.04,0
1032,EQ0055,Loader,3070,95.76,0.348,2.15,41.23,108.6,26.42,0
1033,EQ0137,Haul Truck,111,86.76,0.479,2.03,37.24,111.9,20.22,1
1034,EQ0131,Crusher,7924,96.82,0.166,3.3,25.38,89.5,27.41,0
1035,EQ0031,Drill,861,81.25,0.494,2.11,46.06,103.9,20.01,0
1036,EQ0040,Haul Truck,3285,103.38,0.623,2.89,30.01,116.8,26.14,0
1037,EQ0036,Drill,125,95.37,0.495,3.51,39.46,104.9,27.62,0
1038,EQ0152,Crusher,1906,90.83,0.457,3.37,41.22,198.1,13.84,1
1039,EQ0006,Loader,6751,88.33,0.579,2.67,40.16,135.4,36.33,0
1040,EQ0066,Excavator,5764,93.12,0.591,2.21,49.35,180.0,20.57,1
1041,EQ0075,Excavator,5254,100.51,0.251,3.25,39.57,164.8,26.88,0
1042,EQ0004,Loader,5924,99.38,0.513,3.67,43.42,100.8,31.2,0
1043,EQ0079,Haul Truck,3759,89.36,0.865,2.67,39.55,121.1,35.85,1
1044,EQ0134,Haul Truck,1625,88.23,0.3,2.6,44.9,107.0,23.25,0
1045,EQ0118,Drill,860,100.26,0.487,2.74,51.15,115.1,12.94,0
1046,EQ0113,Loader,694,89.22,0.791,3.29,41.1,90.7,34.47,0
1047,EQ0094,Haul Truck,7292,95.48,0.666,3.61,46.25,106.8,20.5,0
1048,EQ0179,Loader,1155,95.99,0.423,2.38,51.64,130.8,30.16,0
1049,EQ0062,Crusher,3183,97.5,0.531,2.25,50.86,130.0,30.53,0
1050,EQ0185,Excavator,3775,101.87,0.5,4.17,36.92,127.6,8.49,0
1051,EQ0194,Excavator,9750,84.9,0.388,2.91,48.29,118.2,18.31,1
1052,EQ0079,Excavator,6057,79.71,0.489,3.13,41.99,145.8,25.24,0
1053,EQ0136,Loader,5355,90.46,0.458,2.65,48.94,112.3,12.5,0
1054,EQ0026,Loader,9511,109.41,0.517,3.24,44.55,161.7,19.97,1
1055,EQ0179,Drill,4328,111.18,0.388,3.48,42.21,64.6,28.74,1
1056,EQ0173,Excavator,4281,109.65,0.309,3.15,43.47,139.7,27.47,1
1057,EQ0044,Drill,9791,93.46,0.494,3.87,42.04,134.7,29.82,1
1058,EQ0133,Excavator,1930,80.74,0.757,2.84,42.35,99.8,30.7,0
1059,EQ0070,Drill,3495,76.26,0.512,2.87,38.73,109.3,17.91,0
1060,EQ0154,Drill,1303,90.09,0.45,3.12,37.99,133.9,20.29,1
1061,EQ0118,Crusher,2910,93.42,0.613,3.23,54.11,147.5,32.57,0
1062,EQ0068,Drill,3192,105.41,0.476,3.11,43.82,67.5,37.15,0
1063,EQ0019,Loader,3144,101.94,0.78,2.36,35.41,138.8,22.2,1
1064,EQ0020,Drill,6171,96.82,0.499,3.16,37.78,106.3,29.55,0
1065,EQ0113,Excavator,7372,87.88,0.605,2.81,48.45,153.8,32.84,0
1066,EQ0140,Drill,4773,87.31,0.387,2.71,34.11,64.8,29.43,0
1067,EQ0047,Haul Truck,3614,97.03,0.575,3.02,28.14,193.4,26.51,0
1068,EQ0001,Excavator,6292,100.58,0.541,2.52,28.73,93.4,24.16,0
1069,EQ0090,Haul Truck,244,98.14,0.492,2.43,26.17,162.9,39.91,1
1070,EQ0142,Excavator,7607,86.72,0.425,1.69,29.61,117.9,28.58,0
1071,EQ0064,Loader,4957,100.21,0.404,3.87,30.55,95.4,30.33,0
1072,EQ0038,Loader,1477,98.41,0.542,3.28,51.08,128.0,29.95,0
1073,EQ0037,Loader,3246,86.43,0.594,2.94,39.63,150.9,23.13,0
1074,EQ0126,Haul Truck,5124,88.73,0.481,2.67,37.09,73.4,28.3,0
1075,EQ0139,Crusher,893,100.51,0.543,1.56,28.45,141.0,26.07,1
1076,EQ0100,Excavator,9893,93.12,0.494,2.64,38.85,119.6,25.96,0
1077,EQ0077,Loader,5856,107.71,0.515,3.36,26.1,137.3,29.9,1
1078,EQ0003,Excavator,4514,99.01,0.47,3.47,37.04,120.3,22.51,0
1079,EQ0161,Haul Truck,1210,91.11,0.503,3.32,56.52,102.8,20.77,0
1080,EQ0134,Crusher,5772,94.92,0.905,3.08,45.31,86.6,31.02,1
1081,EQ0178,Haul Truck,4153,95.51,0.547,3.65,38.32,140.2,24.81,0
1082,EQ0010,Excavator,4037,89.17,0.597,2.84,45.58,140.0,25.93,0
1083,EQ0005,Crusher,4063,87.7,0.566,3.54,35.83,139.9,16.43,1
1084,EQ0151,Crusher,5042,100.61,0.461,2.81,33.59,132.8,33.78,0
1085,EQ0138,Haul Truck,5997,101.76,0.694,2.56,53.63,148.3,31.14,0
1086,EQ0172,Loader,9074,99.83,0.456,2.5,30.86,162.2,32.25,0
1087,EQ0130,Excavator,1216,107.12,0.658,2.47,37.17,63.7,30.32,0
1088,EQ0013,Drill,1850,90.67,0.45,3.33,42.45,49.7,18.9,0
1089,EQ0168,Drill,4127,108.39,0.356,2.63,32.51,171.5,29.37,0
1090,EQ0130,Haul Truck,5845,87.79,0.555,2.48,45.2,79.8,24.35,0
1091,EQ0084,Excavator,5164,86.9,0.334,3.36,37.55,87.4,22.22,0
1092,EQ0065,Excavator,9779,80.92,0.58,3.16,45.31,111.4,31.0,0
1093,EQ0063,Haul Truck,6038,91.43,0.321,3.48,44.69,70.4,37.95,0
1094,EQ0101,Excavator,3497,90.97,0.452,3.26,38.06,108.6,36.96,0
1095,EQ0073,Loader,8365,99.21,0.285,2.62,53.69,91.6,31.73,0
1096,EQ0017,Haul Truck,1459,96.95,0.924,3.04,34.68,113.0,27.82,0
1097,EQ0009,Loader,9383,85.46,0.252,3.06,50.79,128.4,26.71,1
1098,EQ0143,Excavator,4953,91.86,0.501,2.54,49.4,109.7,22.57,0
1099,EQ0152,Haul Truck,2041,92.03,0.671,2.45,54.17,108.2,26.38,0
1100,EQ0038,Excavator,3248,80.79,0.655,2.66,41.39,127.7,33.45,0
1101,EQ0163,Haul Truck,8033,87.15,0.628,4.02,33.69,151.3,38.94,1
1102,EQ0094,Excavator,9536,88.83,0.452,2.79,56.61,168.1,23.1,0
1103,EQ0095,Loader,1385,106.47,0.703,3.62,37.32,113.4,16.03,1
1104,EQ0049,Loader,6574,96.53,0.637,2.77,33.49,174.7,24.81,0
1105,EQ0069,Excavator,870,100.3,0.532,3.44,38.48,146.3,33.42,0
1106,EQ0062,Haul Truck,1943,83.01,0.536,3.45,32.15,83.0,40.43,0
1107,EQ0188,Drill,173,104.55,0.454,3.48,44.21,82.2,35.86,0
1108,EQ0178,Loader,1760,105.41,0.364,3.19,35.15,102.7,35.71,0
1109,EQ0078,Loader,4449,79.01,0.686,3.69,37.7,163.3,22.9,0
1110,EQ0117,Drill,7202,89.36,0.697,3.19,47.74,105.0,23.07,0
1111,EQ0120,Excavator,8100,98.97,0.367,3.86,44.99,63.2,20.06,1
1112,EQ0137,Haul Truck,9111,100.16,0.477,2.19,40.12,113.1,24.01,0
1113,EQ0162,Excavator,3918,89.57,0.478,3.17,41.37,60.6,33.48,0
1114,EQ0076,Crusher,431,92.56,0.495,3.14,40.1,88.4,37.75,0
1115,EQ0035,Loader,1521,90.22,0.51,2.53,36.55,102.4,30.07,0
1116,EQ0001,Crusher,7612,95.88,0.642,3.29,39.98,124.5,26.47,0
1117,EQ0040,Loader,6990,104.58,0.388,2.25,43.93,150.7,21.6,0
1118,EQ0064,Loader,5031,88.83,0.373,2.67,38.99,140.8,27.32,1
1119,EQ0150,Crusher,9983,103.01,0.685,2.0,43.36,84.6,29.22,0
1120,EQ0060,Crusher,6125,88.75,0.431,3.78,33.31,108.8,19.22,0
1121,EQ0064,Excavator,4508,88.22,0.311,2.88,35.17,122.3,33.53,0
1122,EQ0093,Crusher,5213,101.55,0.427,4.08,34.13,112.1,25.46,0
1123,EQ0072,Excavator,8519,102.38,0.45,3.4,35.48,111.9,33.17,0
1124,EQ0011,Excavator,2981,101.81,0.733,3.22,50.3,68.3,27.93,1
1125,EQ0105,Excavator,2965,84.47,0.639,2.71,45.81,85.4,29.78,0
1126,EQ0014,Loader,2675,91.27,0.672,2.48,31.38,107.9,23.79,0
1127,EQ0060,Loader,6285,101.58,0.623,3.26,43.5,27.2,25.93,0
1128,EQ0030,Crusher,8756,95.33,0.642,2.96,36.88,139.2,31.85,1
1129,EQ0035,Loader,5841,86.41,0.397,2.33,34.54,78.8,27.21,1
1130,EQ0165,Crusher,377,98.67,0.47,2.24,28.11,140.6,21.37,1
1131,EQ0005,Loader,165,89.28,0.352,2.52,47.78,138.0,28.67,0
1132,EQ0083,Haul Truck,4362,109.36,0.468,3.91,29.09,103.7,30.31,0
1133,EQ0123,Haul Truck,5804,107.36,0.603,4.11,39.58,150.0,36.24,0
1134,EQ0078,Crusher,8694,99.83,0.52,3.1,32.43,142.3,34.92,0
1135,EQ0154,Loader,8089,105.89,0.697,3.07,46.21,110.7,27.61,1
1136,EQ0062,Loader,6355,95.52,0.329,2.83,37.33,107.3,24.72,0
1137,EQ0132,Excavator,7541,101.12,0.575,2.53,38.92,152.9,26.63,0
1138,EQ0089,Drill,4792,106.82,0.313,3.69,39.19,127.0,24.86,0
1139,EQ0042,Crusher,4519,96.96,0.514,3.94,42.42,151.3,31.04,0
1140,EQ0089,Drill,8060,92.96,0.611,2.55,40.1,48.3,34.25,0
1141,EQ0146,Drill,6178,81.36,0.468,2.96,39.65,123.0,35.44,0
1142,EQ0040,Crusher,1537,94.33,0.583,2.78,35.85,72.7,25.53,0
1143,EQ0072,Loader,8720,101.59,0.356,2.79,27.4,119.2,24.93,0
1144,EQ0039,Crusher,7132,102.57,0.25,3.59,31.05,141.4,25.48,0
1145,EQ0104,Drill,5831,99.03,0.584,2.34,45.75,172.2,16.41,1
1146,EQ0014,Loader,3478,90.67,0.762,3.23,37.55,91.9,20.78,0
1147,EQ0032,Haul Truck,8684,79.19,0.351,3.36,34.69,104.2,27.79,0
1148,EQ0179,Crusher,6447,91.04,0.683,2.93,28.75,117.1,30.28,0
1149,EQ0125,Crusher,6501,92.57,0.507,3.45,26.24,90.8,30.95,0
1150,EQ0166,Loader,6729,92.5,0.3,3.07,34.37,149.4,23.32,0
1151,EQ0097,Haul Truck,4641,99.95,0.33,3.61,47.1,117.9,25.05,0
1152,EQ0023,Haul Truck,7976,110.89,0.502,2.24,35.54,123.7,26.38,1
1153,EQ0063,Loader,8633,95.99,0.439,2.83,43.2,138.6,25.71,0
1154,EQ0143,Excavator,8424,93.27,0.303,2.96,35.18,117.8,32.13,1
1155,EQ0153,Crusher,364,92.93,0.246,1.66,45.11,95.5,20.15,0
1156,EQ0145,Crusher,9977,96.0,0.373,2.46,37.19,118.1,21.1,1
1157,EQ0194,Drill,1534,88.37,0.529,2.59,30.14,94.3,26.21,0
1158,EQ0053,Loader,5427,95.96,0.499,3.47,37.85,123.2,19.81,0
1159,EQ0104,Drill,5197,98.61,0.425,2.65,54.67,149.9,16.6,0
1160,EQ0104,Drill,1760,96.68,0.53,2.59,54.32,84.8,19.04,1
1161,EQ0179,Haul Truck,5792,98.66,0.656,3.41,43.89,74.0,26.54,0
1162,EQ0039,Crusher,2454,98.47,0.559,2.19,38.9,121.5,31.78,0
1163,EQ0179,Drill,8557,80.82,0.482,1.96,42.43,97.0,31.91,1
1164,EQ0198,Haul Truck,6561,100.09,0.639,2.82,42.53,121.0,37.53,0
1165,EQ0134,Loader,9428,89.63,0.356,2.28,39.68,129.6,28.61,1
1166,EQ0067,Drill,7144,86.23,0.466,2.3,43.53,55.7,29.42,0
1167,EQ0135,Crusher,5597,86.16,0.47,3.29,41.67,140.7,26.5,0
1168,EQ0179,Drill,4649,98.47,0.314,3.44,37.47,84.9,26.79,0
1169,EQ0200,Loader,6434,93.22,0.437,3.39,30.44,119.3,40.48,0
1170,EQ0042,Drill,6110,81.54,0.189,3.55,36.32,100.2,29.57,0
1171,EQ0192,Crusher,5026,98.82,0.787,3.62,46.4,103.4,30.09,0
1172,EQ0015,Haul Truck,9682,83.48,0.359,1.94,39.75,170.8,21.13,1
1173,EQ0111,Crusher,9404,96.12,0.738,3.23,42.4,129.6,30.46,0
1174,EQ0157,Haul Truck,6165,96.91,0.506,2.74,37.74,147.1,31.95,0
1175,EQ0033,Excavator,2279,102.08,0.585,2.63,31.52,124.5,34.66,0
1176,EQ0155,Crusher,5067,109.25,0.427,3.28,38.09,138.6,31.78,0
1177,EQ0164,Crusher,734,84.08,0.531,2.13,31.82,132.5,27.24,1
1178,EQ0157,Loader,3731,94.58,0.598,2.12,31.31,127.6,26.98,0
1179,EQ0038,Drill,9691,92.79,0.6,3.32,49.65,153.2,27.57,0
1180,EQ0185,Haul Truck,4777,98.47,0.616,3.24,36.64,124.7,28.64,0
1181,EQ0097,Haul Truck,2318,96.73,0.445,3.07,34.07,188.6,35.61,0
1182,EQ0155,Loader,1489,92.18,0.428,2.56,52.94,148.8,34.44,0
1183,EQ0183,Loader,4376,91.47,0.261,3.37,46.52,85.8,32.52,0
1184,EQ0033,Drill,1349,86.07,0.578,3.34,37.03,114.7,40.18,0
1185,EQ0196,Drill,7740,102.9,0.662,3.04,43.42,131.9,12.06,0
1186,EQ0086,Crusher,5812,98.67,0.742,2.41,38.11,121.3,25.24,0
1187,EQ0066,Excavator,1345,102.34,0.546,2.79,34.46,140.6,27.93,0
1188,EQ0010,Drill,8345,92.52,0.385,3.42,43.8,143.9,23.97,0
1189,EQ0005,Loader,542,89.75,0.245,3.66,37.41,79.2,22.42,0
1190,EQ0123,Drill,7076,86.37,0.656,2.84,40.6,158.4,17.7,0
1191,EQ0074,Haul Truck,4775,97.87,0.231,2.88,48.17,105.1,26.13,0
1192,EQ0097,Excavator,8053,86.68,0.449,2.92,47.29,102.1,33.36,0
1193,EQ0118,Crusher,4477,109.79,0.466,3.14,35.6,102.0,32.64,1
1194,EQ0038,Haul Truck,7158,84.54,0.49,2.71,43.89,144.3,23.49,0
1195,EQ0141,Haul Truck,922,97.19,0.505,1.55,30.98,112.0,29.32,0
1196,EQ0159,Excavator,3039,107.53,0.521,3.6,43.6,100.1,36.15,0
1197,EQ0047,Crusher,7196,99.79,0.138,3.9,41.19,107.3,18.88,0
1198,EQ0109,Loader,5865,96.41,0.502,2.69,43.03,66.2,27.05,0
1199,EQ0180,Crusher,1131,87.25,0.166,2.47,37.62,94.7,29.72,0
1200,EQ0184,Drill,662,83.95,0.61,2.93,56.67,82.8,28.06,0
1201,EQ0015,Haul Truck,440,101.16,0.417,2.91,32.79,111.9,33.1,0
1202,EQ0157,Drill,4667,107.05,0.176,3.5,47.77,139.9,19.01,0
1203,EQ0136,Loader,7962,91.49,0.378,3.03,31.75,136.6,21.97,0
1204,EQ0005,Drill,2396,85.89,0.414,2.6,44.03,157.7,32.09,0
1205,EQ0157,Crusher,334,75.33,0.679,2.34,44.61,151.0,17.79,0
1206,EQ0047,Drill,5302,87.15,0.529,3.43,40.44,104.1,32.87,0
1207,EQ0068,Loader,9408,94.09,0.552,3.3,36.04,120.6,30.7,0
1208,EQ0076,Loader,9709,107.79,0.677,3.53,41.13,119.0,32.45,0
1209,EQ0173,Loader,1391,100.39,0.486,2.52,42.14,55.5,25.18,0
1210,EQ0130,Crusher,4827,97.44,0.613,3.92,54.32,83.5,31.06,0
1211,EQ0155,Loader,8820,91.8,0.603,2.13,33.02,115.0,20.97,0
1212,EQ0095,Haul Truck,3039,90.33,0.307,3.35,35.55,114.8,25.51,0
1213,EQ0115,Loader,5535,106.25,0.721,2.05,42.28,135.4,28.22,0
1214,EQ0164,Drill,7081,96.61,0.287,2.6,37.95,133.9,22.61,0
1215,EQ0036,Drill,5492,78.18,0.638,3.78,39.2,66.9,29.31,0
1216,EQ0026,Drill,9621,89.61,0.272,3.42,48.56,135.6,21.13,0
1217,EQ0043,Crusher,8072,88.13,0.59,2.73,17.44,125.4,29.61,0
1218,EQ0027,Drill,1333,90.63,0.779,2.74,35.22,138.7,38.45,0
1219,EQ0069,Crusher,2900,99.5,0.468,3.05,26.06,152.0,20.46,0
1220,EQ0148,Crusher,2875,94.14,0.462,3.26,30.43,115.7,27.86,0
1221,EQ0011,Loader,6144,94.39,0.592,3.63,59.24,157.4,18.29,0
1222,EQ0074,Haul Truck,3587,105.51,0.451,2.77,44.79,93.3,23.0,1
1223,EQ0104,Loader,7483,89.43,0.773,2.19,47.61,91.6,32.21,1
1224,EQ0038,Loader,3950,109.91,0.529,3.08,39.36,132.9,25.42,0
1225,EQ0134,Crusher,5097,89.63,0.452,2.77,46.07,108.9,32.45,0
1226,EQ0200,Crusher,990,95.71,0.419,2.35,25.87,127.8,30.14,0
1227,EQ0023,Drill,6020,92.75,0.36,3.15,48.31,179.8,27.61,0
1228,EQ0047,Drill,1288,95.99,0.406,2.89,33.44,131.8,21.82,0
1229,EQ0090,Loader,5744,98.56,0.447,3.15,35.75,126.4,32.11,0
1230,EQ0046,Excavator,840,98.47,0.427,2.55,44.04,93.9,29.82,0
1231,EQ0107,Excavator,1469,88.98,0.401,3.24,42.53,69.0,18.83,0
1232,EQ0140,Drill,9681,86.02,0.815,2.34,40.68,117.8,22.21,1
1233,EQ0141,Excavator,2100,115.03,0.345,2.59,29.1,152.0,11.39,0
1234,EQ0104,Drill,1571,91.13,0.522,2.88,40.8,110.3,19.81,0
1235,EQ0190,Crusher,1636,100.59,0.589,3.87,47.68,132.0,26.12,0
1236,EQ0111,Loader,418,82.14,0.595,3.39,35.74,162.8,21.66,0
1237,EQ0104,Haul Truck,5253,92.76,0.491,3.54,50.52,162.0,23.01,0
1238,EQ0060,Loader,1994,93.98,0.464,3.71,33.02,132.9,36.34,0
1239,EQ0171,Drill,8091,98.78,0.568,4.8,40.05,125.1,34.17,0
1240,EQ0100,Drill,9567,73.22,0.54,3.02,52.28,74.4,23.83,0
1241,EQ0068,Loader,8692,96.33,0.461,3.71,34.55,101.1,32.76,0
1242,EQ0133,Drill,6035,85.8,0.266,3.51,48.43,111.6,35.29,0
1243,EQ0120,Excavator,823,97.59,0.43,3.5,55.8,94.4,31.71,0
1244,EQ0037,Excavator,2429,86.71,0.328,3.89,41.37,127.5,29.79,0
1245,EQ0072,Drill,9427,88.16,0.4,2.79,35.78,177.3,34.59,0
1246,EQ0127,Drill,2870,92.81,0.505,2.75,33.82,165.5,32.62,0
1247,EQ0106,Excavator,7645,86.58,0.554,3.16,50.44,127.3,20.72,0
1248,EQ0092,Drill,4946,91.2,0.767,2.91,50.21,143.4,26.87,0
1249,EQ0031,Drill,367,85.45,0.419,3.16,51.59,98.1,24.69,0
1250,EQ0122,Loader,669,80.33,0.616,3.78,39.74,163.9,34.91,0
1251,EQ0137,Haul Truck,2073,103.14,0.546,2.76,48.3,73.1,24.52,0
1252,EQ0051,Excavator,8837,84.63,0.694,2.85,39.61,147.4,23.49,0
1253,EQ0029,Loader,2922,93.57,0.586,3.09,32.94,134.9,34.16,0
1254,EQ0040,Haul Truck,4560,101.02,0.349,2.89,48.99,97.3,29.56,0
1255,EQ0041,Drill,370,90.08,0.242,2.04,53.07,113.7,40.67,0
1256,EQ0011,Drill,7741,88.4,0.547,2.71,31.84,86.0,22.83,0
1257,EQ0151,Loader,9030,96.81,0.421,3.34,31.68,87.3,24.89,0
1258,EQ0001,Drill,6780,103.94,0.353,3.72,40.32,72.3,34.73,0
1259,EQ0046,Crusher,1357,85.65,0.31,2.42,47.65,143.0,20.33,0
1260,EQ0101,Loader,8350,93.8,0.524,2.42,30.93,156.2,35.92,1
1261,EQ0149,Haul Truck,5470,81.14,0.726,3.02,41.82,55.1,20.76,0
1262,EQ0090,Loader,4958,91.85,0.439,1.96,35.28,175.1,31.66,0
1263,EQ0110,Excavator,8681,95.27,0.589,2.78,45.61,119.6,16.94,1
1264,EQ0164,Loader,9010,88.16,0.485,2.13,33.62,128.7,28.27,0
1265,EQ0182,Drill,7099,91.34,0.307,3.68,46.17,75.8,19.78,0
1266,EQ0057,Drill,220,83.73,0.61,2.62,38.73,159.6,39.56,0
1267,EQ0001,Crusher,7008,95.62,0.336,3.83,32.5,126.0,21.57,0
1268,EQ0063,Crusher,2403,103.45,0.503,3.56,40.51,154.2,23.03,1
